x,y,z
33,28,60.93105482
32,29,60.93345738
31,30,60.93950696
30,31,60.94939886
29,32,60.963725
28,33,60.981535
41,21,62.007848
40,22,61.986903
39,23,61.97293256
38,24,61.95614292
37,25,61.94790738
36,26,61.93679181
35,27,61.9340582
34,28,61.92834475
33,29,61.9325948
32,30,61.93433336
31,31,61.94418964
30,32,61.954761
29,33,61.973784
42,21,63.014031
41,22,62.993709
40,23,62.976661
39,24,62.961161
38,25,62.94966467
37,26,62.9402727
36,27,62.93359963
35,28,62.92966902
34,29,62.92959712
33,30,62.93321114
32,31,62.93929419
31,32,62.949628
30,33,62.964036
29,34,62.981911
42,22,63.998411
41,23,63.98248
40,24,63.963886
39,25,63.95384937
38,26,63.94098776
37,27,63.93581018
36,28,63.92796623
35,29,63.929764
34,30,63.92914178
33,31,63.93684037
32,32,63.94168991
31,33,63.95756
30,34,63.971165
43,22,65.005593
42,23,64.986999
41,24,64.969608
40,25,64.95601975
39,26,64.94501532
38,27,64.93646207
37,28,64.93008459
36,29,64.92778948
35,30,64.92924053
34,31,64.93273442
33,32,64.93936814
32,33,64.949611
31,34,64.964552
30,35,64.982297
43,23,65.993237
42,24,65.973011
41,25,65.96054683
40,26,65.94624996
39,27,65.93944294
38,28,65.92913933
37,29,65.9288688
36,30,65.92603364
35,31,65.93158977
34,32,65.93386212
33,33,65.94414878
32,34,65.955276
31,35,65.974697
44,23,66.998128
43,24,66.979313
42,25,66.96395
41,26,66.95093
40,27,66.94060963
39,28,66.93156941
38,29,66.92772949
37,30,66.92712742
36,31,66.92820228
35,32,66.932717
34,33,66.93925111
33,34,66.949994
32,35,66.965078
31,36,66.983305
44,24,67.983156
43,25,67.968953
42,26,67.952875
41,27,67.9445594
40,28,67.93186879
39,29,67.92961089
38,30,67.92484423
37,31,67.92798016
36,32,67.92809531
35,33,67.93677413
34,34,67.94182524
33,35,67.958356
32,36,67.972489
45,24,68.989662
44,25,68.972775
43,26,68.957918
42,27,68.945909
41,28,68.93561027
40,29,68.92942927
39,30,68.92655036
38,31,68.92557353
37,32,68.92796447
36,33,68.93224629
35,34,68.93941485
34,35,68.95033841
33,36,68.965496
46,24,69.993945
45,25,69.978046
44,26,69.960397
43,27,69.9500534
42,28,69.9364313
41,29,69.93239208
40,30,69.92531918
